insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Pilates', 9116, '6 years', 495800226);

insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Endurance Training', 11185, '16 years', 801085395);

insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Rehabilitation', 9450, '25 years', 198104792);

insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Nutrition Coaching', 8408, '3 years', 568933983);

insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Bodybuilding', 9311, '16 years', 579480884);

insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Cardio Fitness', 7302, '15 years', 223802756);

insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Rehabilitation', 8157, '22 years', 842438188);

insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Endurance Training', 8263, '5 years', 404616118);

insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Strength Training', 9032, '3 years', 152215435);

insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Endurance Training', 8136, '18 years', 829031103);

insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Weight Loss', 11270, '5 years', 992774372);

insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Rehabilitation', 9342, '12 years', 451950079);

insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Weight Loss', 7275, '17 years', 644624124);

insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Bodybuilding', 11829, '13 years', 882528796);

insert into HADASNOA.COACH (SPECIALITY, SALARY, EXPERIENCE, PERSON_ID)
values ('Cardio Fitness', 7128, '16 years', 482913375);

